Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
University of Illinois,University of Illinois Urbana-Champaign,51 East Armory Ave,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1919,1919,6110,5,4,1,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,8 East Gerty Drive,Champaign,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1971,1972,1227,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,912 West Illinois Street,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1924,1924,4988,4,3,1,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1102 West Hazelwood Drive,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1971,1970,16619,2,2,0,Health Care,Health Care,Not provided
University of Illinois,University of Illinois Urbana-Champaign,23 East Stadium Drive,Champaign,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1964,1963,2400,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1501 South Oak Street,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1966,1966,3680,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1 East St.mary's Road,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1968,1967,7684,3,2,1,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1804 South Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1969,1969,1338,1,1,0,Business,Education,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1917 South Wright Exteded,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1968,1967,8360,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2122 S Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1968,1967,4087,1,1,0,Industrial,Industrial,Not provided
